name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Edinburgh, Scotland, United Kingdom,2016-10-31,57.2,47.8,51.6,57.2,44.3,50.4,48.2,88.3,0,0,0,,0,0,19.2,10.1,246.5,1026.2,68.7,7.5,42.1,3.5,2,,2016-10-31T07:18:13,2016-10-31T16:33:40,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,""03144099999,03158099999,03166099999,03171099999,EGPH,03155099999"""
"Edinburgh, Scotland, United Kingdom,2016-11-01,48.7,36.4,42.9,45.6,32.1,39.6,37.8,82.9,0.224,100,4.17,rain,0,0,19.5,8.5,269,1027.2,42.1,13.1,67.4,5.7,3,,2016-11-01T07:20:21,2016-11-01T16:31:30,0.06,""Rain, Partially cloudy"",Partly cloudy throughout the day with early morning rain.,rain,""03144099999,03158099999,03166099999,03171099999,EGPH,03155099999"""
"Edinburgh, Scotland, United Kingdom,2016-11-02,49.8,37.2,41.3,47.3,31.4,37,36.1,82.2,0,0,0,,0,0,20.4,10.7,245.4,1024,46.6,16.4,54.6,4.6,2,,2016-11-02T07:22:29,2016-11-02T16:29:21,0.09,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,""03144099999,03158099999,03166099999,03171099999,EGPH,03155099999"""
"Edinburgh, Scotland, United Kingdom,2016-11-03,47.9,36.6,44.6,42.9,34,40.6,41.2,87.6,0.01,100,8.33,rain,0,0,24.6,15.2,231.6,1014,75,12.2,32.2,2.8,2,,2016-11-03T07:24:37,2016-11-03T16:27:15,0.13,""Rain, Partially cloudy"",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,""03144099999,03158099999,03166099999,03171099999,EGPH,03155099999"""
"Edinburgh, Scotland, United Kingdom,2016-11-04,45.9,38,42,43,32.1,37.9,37.4,83.8,0.009,100,8.33,rain,0,0.1,23.5,9.6,266.5,1005.6,44.5,13.7,55.4,4.8,3,,2016-11-04T07:26:44,2016-11-04T16:25:09,0.16,""Rain, Partially cloudy"",Partly cloudy throughout the day with rain.,rain,""03144099999,03158099999,03166099999,03171099999,EGPH,03155099999"""
"Edinburgh, Scotland, United Kingdom,2016-11-05,44.2,38.3,40.9,38.8,33,35.6,32.2,71.1,0.049,100,8.33,rain,0,0,36.9,13.2,327.7,1010.6,37.9,13.8,55.3,4.7,3,,2016-11-05T07:28:52,2016-11-05T16:23:06,0.19,""Rain, Partially cloudy"",Partly cloudy throughout the day with rain clearing later.,rain,""03144099999,03158099999,03166099999,03171099999,EGPH,03155099999"""
"Edinburgh, Scotland, United Kingdom,2016-11-06,45.6,35.9,41.2,40.7,33.1,36,33.8,74.9,0.016,100,8.33,rain,0,0,31.1,12.6,338,1013.1,44.5,17.4,39.3,3.3,2,,2016-11-06T07:31:00,2016-11-06T16:21:04,0.23,""Rain, Partially cloudy"",Partly cloudy throughout the day with rain.,rain,""03144099999,03158099999,03166099999,03171099999,EGPH,03155099999"""
"Edinburgh, Scotland, United Kingdom,2016-11-07,44.6,34.5,40,39.9,32.1,36.8,32.3,74.3,0.011,100,8.33,""rain,snow"",0,0,20.1,9.1,318.5,1017.7,69.2,15.1,48.7,4.2,2,,2016-11-07T07:33:07,2016-11-07T16:19:05,0.25,""Snow, Rain, Partially cloudy"",Partly cloudy throughout the day with rain or snow clearing later.,rain,""03144099999,03158099999,03166099999,03171099999,EGPH,03155099999"""
"Edinburgh, Scotland, United Kingdom,2016-11-08,41,34.2,37.9,41,31.3,35.8,31.5,78,0,0,0,,0,0,16.1,7.4,138,1007.8,83.4,13.4,23.4,2,1,,2016-11-08T07:35:14,2016-11-08T16:17:07,0.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,""03144099999,03158099999,03166099999,03171099999,EGPH,03155099999"""
"Edinburgh, Scotland, United Kingdom,2016-11-09,39.2,34,37.4,39.2,30.6,35.2,34.6,89.4,0.067,100,12.5,rain,0.2,0.2,14.3,9,77.4,1000.8,90.6,10.5,25.1,2.2,1,,2016-11-09T07:37:21,2016-11-09T16:15:11,0.33,""Rain, Overcast"",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,""03144099999,03158099999,03166099999,03171099999,EGPH,03155099999"""
"Edinburgh, Scotland, United Kingdom,2016-11-10,45.5,31.5,38.7,41,30.2,35,35,87.1,0.142,100,8.33,rain,0,0,21.9,10.3,270.7,1004.3,52.8,14.2,40.8,3.5,2,,2016-11-10T07:39:27,2016-11-10T16:13:17,0.36,""Rain, Partially cloudy"",Partly cloudy throughout the day with rain.,rain,""03144099999,03158099999,03166099999,03171099999,EGPH,03155099999"""
"Edinburgh, Scotland, United Kingdom,2016-11-11,48,27.6,38.4,44.2,25.9,35.9,34.4,86.2,0,0,0,,0,0,32,12.3,200.9,1015.8,56.3,11.8,27.7,2.4,1,,2016-11-11T07:41:34,2016-11-11T16:11:26,0.4,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,""03144099999,03158099999,03166099999,03171099999,EGPH,03155099999"""
"Edinburgh, Scotland, United Kingdom,2016-11-12,51.5,39.5,47.4,51.5,34.4,43.8,43.6,86.6,0.129,100,8.33,rain,0,0,33.3,19.1,230.2,1010.8,49.8,11.8,30,2.5,2,,2016-11-12T07:43:39,2016-11-12T16:09:37,0.43,""Rain, Partially cloudy"",Partly cloudy throughout the day with rain clearing later.,rain,""03144099999,03158099999,03166099999,03171099999,EGPH,03155099999"""
"Edinburgh, Scotland, United Kingdom,2016-11-13,51.4,35.7,44.4,51.4,32,41.1,41.9,91,0.155,100,8.33,rain,0,0,31.1,14.3,235.9,1023.6,73.4,10.3,12.1,1.1,1,,2016-11-13T07:45:44,2016-11-13T16:07:50,0.46,""Rain, Partially cloudy"",Partly cloudy throughout the day with rain.,rain,""03144099999,03158099999,03166099999,03171099999,EGPH,03155099999"""
"Edinburgh, Scotland, United Kingdom,2016-11-14,57.5,51.3,55.4,57.5,51.3,55.4,52.6,90.1,0.075,100,4.17,rain,0,0,33.3,17.8,243.4,1020.1,88.2,13.8,8.8,0.7,0,,2016-11-14T07:47:49,2016-11-14T16:06:05,0.5,""Rain, Partially cloudy"",Partly cloudy throughout the day with early morning rain.,rain,""03144099999,03158099999,03166099999,03171099999,EGPH,03155099999"""
"Edinburgh, Scotland, United Kingdom,2016-11-15,57.2,47.2,51.1,57.2,42.1,48.4,45.3,80.6,0.001,100,4.17,rain,0,0,36.9,19.7,238.5,1018.5,64.4,10.4,32.3,2.8,2,,2016-11-15T07:49:52,2016-11-15T16:04:23,0.53,""Rain, Partially cloudy"",Partly cloudy throughout the day with morning rain.,rain,""03144099999,03158099999,03166099999,03171099999,EGPH,03155099999"""
"Edinburgh, Scotland, United Kingdom,2016-11-16,49.6,38.9,44.8,43.5,30.4,37.5,39.4,81.5,0.045,100,12.5,rain,0,0,45.6,23.8,241.3,1003.7,52.7,10.6,39.8,3.5,2,,2016-11-16T07:51:55,2016-11-16T16:02:43,0.56,""Rain, Partially cloudy"",Partly cloudy throughout the day with rain.,rain,""03144099999,03158099999,03166099999,03171099999,EGPH,03155099999"""
"Edinburgh, Scotland, United Kingdom,2016-11-17,40.7,34.5,38.6,34.6,28.9,32,35.7,89.4,0.527,100,12.5,rain,0,0,33.3,16.3,236.8,988.6,62.7,16.2,24.7,2.2,1,,2016-11-17T07:53:57,2016-11-17T16:01:06,0.6,""Rain, Partially cloudy"",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,""03144099999,03158099999,03166099999,03171099999,EGPH,03155099999"""
"Edinburgh, Scotland, United Kingdom,2016-11-18,41.1,32.4,34.9,35.8,25.6,29.6,32.8,92.1,0.006,100,8.33,""rain,snow"",0,0.1,19.7,10.7,242.9,987.1,50.2,15.7,42.6,3.8,2,,2016-11-18T07:55:58,2016-11-18T15:59:31,0.63,""Snow, Rain, Partially cloudy"",Partly cloudy throughout the day with rain or snow.,rain,""03144099999,03158099999,03166099999,03171099999,EGPH,03155099999"""
"Edinburgh, Scotland, United Kingdom,2016-11-19,41.8,29.2,34.4,36.2,25,29.7,32,91.2,0.001,100,4.17,rain,0,0,17.7,9.6,237.4,993.7,46.5,14.8,30.9,2.8,1,,2016-11-19T07:57:59,2016-11-19T15:58:00,0.66,""Rain, Partially cloudy"",Partly cloudy throughout the day with afternoon rain.,rain,""03144099999,03158099999,03166099999,03171099999,EGPH,03155099999"""
"Edinburgh, Scotland, United Kingdom,2016-11-20,35,26.6,31.6,33.7,25.6,29.5,30.4,95.1,0.007,100,4.17,""rain,snow"",0,0.2,10.5,5.8,265,993.6,88.8,7.1,30.2,2.7,2,,2016-11-20T07:59:57,2016-11-20T15:56:31,0.7,""Snow, Rain, Partially cloudy"",Partly cloudy throughout the day with afternoon rain or snow.,rain,""03144099999,03158099999,03166099999,03171099999,EGPH,03155099999"""
"Edinburgh, Scotland, United Kingdom,2016-11-21,42,28.1,32.5,33.8,22.3,27.9,30.5,92.7,0.001,100,4.17,rain,0,0.1,31.1,16.9,357.1,1000.6,88.9,6,25.6,2.2,1,,2016-11-21T08:01:55,2016-11-21T15:55:04,0.75,""Rain, Partially cloudy"",Partly cloudy throughout the day with late afternoon rain.,rain,""03144099999,03158099999,03166099999,03171099999,EGPH,03155099999"""
"Edinburgh, Scotland, United Kingdom,2016-11-22,44.3,32.7,39.9,39.7,26.9,34.2,34.9,82.2,0.093,100,16.67,rain,0.1,0.1,37.9,17.7,3.7,1003.4,68.5,13.2,17.8,1.4,1,,2016-11-22T08:03:51,2016-11-22T15:53:41,0.77,""Rain, Partially cloudy"",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,""03144099999,03158099999,03166099999,03171099999,EGPH,03155099999"""
"Edinburgh, Scotland, United Kingdom,2016-11-23,41.8,25.4,30.9,41.8,24.1,30.3,28.3,90.7,0,0,0,,0,0,10.1,4.1,238.3,1022.9,17.6,11.6,37.1,3.3,2,,2016-11-23T08:05:46,2016-11-23T15:52:21,0.8,Clear,Clear conditions throughout the day.,clear-day,""03144099999,03158099999,03166099999,03171099999,EGPH,03155099999"""
"Edinburgh, Scotland, United Kingdom,2016-11-24,38.5,21.9,28,38.5,18.8,27.6,25.9,92,0.007,100,4.17,""rain,snow"",0,0.5,8.5,3.9,251,1030.4,51.2,9.7,34.6,3,2,,2016-11-24T08:07:40,2016-11-24T15:51:04,0.83,""Snow, Rain, Partially cloudy"",Partly cloudy throughout the day with late afternoon rain or snow.,rain,""03144099999,03158099999,03166099999,03171099999,EGPH,03155099999"""
