name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Edinburgh, Scotland, United Kingdom",2017-01-30,43.5,25.4,34.9,40.0,24.8,31.9,31.5,88.0,0.008,100,4.17,rain,0.0,0.0,22.4,11.7,103.5,1010.3,60.8,8.8,39.8,3.4,2,,2017-01-30T08:10:53,2017-01-30T16:42:05,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"03144099999,03158099999,03166099999,03171099999,EGPH,03155099999"
"Edinburgh, Scotland, United Kingdom",2017-01-31,49.3,40.8,44.8,46.2,35.3,41.1,40.9,86.1,0.018,100,8.33,rain,0.0,0.0,28.9,10.4,133.4,1006.0,82.6,11.8,5.5,0.5,0,,2017-01-31T08:09:02,2017-01-31T16:44:14,0.12,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03144099999,03158099999,03166099999,03171099999,EGPH,03155099999"
"Edinburgh, Scotland, United Kingdom",2017-02-01,51.1,36.7,43.5,51.1,36.7,41.9,40.6,90.1,0.008,100,4.17,rain,0.0,0.0,24.8,9.3,135.5,1000.8,56.1,8.0,30.6,2.5,2,,2017-02-01T08:07:09,2017-02-01T16:46:25,0.16,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"03144099999,03158099999,03166099999,03171099999,EGPH,03155099999"
"Edinburgh, Scotland, United Kingdom",2017-02-02,53.6,45.8,50.7,53.6,43.5,49.6,43.6,76.7,0.004,100,12.5,rain,0.0,0.0,40.7,23.4,146.7,986.8,69.0,13.2,10.4,0.8,0,,2017-02-02T08:05:13,2017-02-02T16:48:35,0.2,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03144099999,03158099999,03166099999,03171099999,EGPH,03155099999"
"Edinburgh, Scotland, United Kingdom",2017-02-03,51.2,44.2,46.7,51.2,38.1,42.1,39.7,76.9,0.083,100,12.5,rain,0.0,0.0,39.2,21.7,176.7,987.2,59.2,10.5,45.0,3.9,2,,2017-02-03T08:03:16,2017-02-03T16:50:47,0.23,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03144099999,03158099999,03166099999,03171099999,EGPH,03155099999"
"Edinburgh, Scotland, United Kingdom",2017-02-04,45.5,38.3,41.1,39.1,30.3,34.7,36.2,82.7,0.074,100,16.67,rain,0.0,0.0,32.2,18.6,199.0,989.5,62.7,12.9,37.2,3.3,2,,2017-02-04T08:01:17,2017-02-04T16:52:58,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03144099999,03158099999,03166099999,03171099999,EGPH,03155099999"
"Edinburgh, Scotland, United Kingdom",2017-02-05,42.1,33.1,38.3,39.1,31.0,35.7,33.5,83.0,0.014,100,8.33,rain,0.0,0.0,13.6,8.1,168.6,1003.5,78.6,11.3,34.3,3.0,2,,2017-02-05T07:59:16,2017-02-05T16:55:10,0.3,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03144099999,03158099999,03166099999,03171099999,EGPH,03155099999"
"Edinburgh, Scotland, United Kingdom",2017-02-06,43.8,26.0,35.4,37.9,26.0,31.9,31.2,85.5,0.009,100,8.33,rain,0.0,0.0,31.1,12.5,121.3,1012.3,59.0,11.0,38.5,3.4,2,,2017-02-06T07:57:13,2017-02-06T16:57:21,0.34,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03144099999,03158099999,03166099999,03171099999,EGPH,03155099999"
"Edinburgh, Scotland, United Kingdom",2017-02-07,40.5,37.0,38.3,39.3,33.7,36.0,36.6,93.9,0.487,100,16.67,rain,0.1,0.1,28.9,7.3,252.3,1012.0,79.0,7.0,17.0,1.4,1,,2017-02-07T07:55:08,2017-02-07T16:59:33,0.37,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,"03144099999,03158099999,03166099999,03171099999,EGPH,03155099999"
"Edinburgh, Scotland, United Kingdom",2017-02-08,42.3,35.7,38.6,37.9,30.7,35.6,34.8,86.7,0.008,100,8.33,rain,0.0,0.0,23.0,9.7,134.3,1028.0,84.8,8.9,36.4,3.3,2,,2017-02-08T07:53:02,2017-02-08T17:01:45,0.41,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"03144099999,03158099999,03166099999,03171099999,EGPH,03155099999"
"Edinburgh, Scotland, United Kingdom",2017-02-09,38.3,34.3,36.2,33.3,28.5,30.7,30.4,79.5,0.0,0,0.0,,0.0,0.0,31.1,9.0,111.8,1031.1,80.9,14.7,55.7,4.8,3,,2017-02-09T07:50:54,2017-02-09T17:03:57,0.45,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03144099999,03158099999,03166099999,03171099999,EGPH,03155099999"
"Edinburgh, Scotland, United Kingdom",2017-02-10,37.3,32.0,34.2,36.9,26.4,30.5,31.0,88.3,0.039,100,12.5,"rain,snow",0.2,0.1,19.5,12.6,42.8,1031.1,61.4,12.5,57.6,4.9,2,,2017-02-10T07:48:45,2017-02-10T17:06:09,0.48,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow,"03144099999,03158099999,03166099999,03171099999,EGPH,03155099999"
"Edinburgh, Scotland, United Kingdom",2017-02-11,39.4,33.5,37.1,30.8,26.7,28.5,33.2,85.9,0.122,100,12.5,rain,0.2,0.2,35.9,22.1,37.7,1033.7,77.8,11.2,26.2,2.4,1,,2017-02-11T07:46:34,2017-02-11T17:08:21,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow,"03144099999,03158099999,03166099999,03171099999,EGPH,03155099999"
"Edinburgh, Scotland, United Kingdom",2017-02-12,39.4,37.1,38.3,30.1,26.4,28.6,32.0,77.9,0.047,100,12.5,rain,0.0,0.2,36.7,22.4,70.8,1034.3,82.1,9.9,41.2,3.5,2,,2017-02-12T07:44:21,2017-02-12T17:10:33,0.55,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03144099999,03158099999,03166099999,03171099999,EGPH,03155099999"
